vehicle_id,vehicle_type,fuel_type,vehicle_age,fuel_capacity_l,max_payload_kg,available,route_id,origin,destination,distance_km,required_payload_kg,traffic_factor,priority,average_speed_kmph,road_grade,weather_factor,fuel_consumed_l
V006,Semi-Trailer,Diesel,8,450,26000,True,R016,Central Hub,Industrial Park,22.6,19355.2,1.49,1,35.3,0.99,1.03,13.7
V038,Light Commercial,Diesel,6,100,3500,True,R017,Hub North,Zone 2,143.9,2691.6,1.45,3,48.0,3.99,1.01,40.11
V044,Van,CNG,4,75,1500,True,R027,Depot C,Zone 1,70.4,1151.6,1.29,2,39.2,-1.66,1.14,11.62
V035,Van,Petrol,9,75,1500,True,R025,Hub North,Zone 1,67.9,1392.6,1.64,2,30.1,-3.89,1.15,12.88
V006,Semi-Trailer,Diesel,8,450,26000,True,R009,Depot A,Industrial Park,88.5,20827.7,1.61,1,29.7,-2.58,1.0,52.42
V032,Truck,Diesel,8,220,8000,True,R028,Central Hub,Zone 4,31.3,7386.3,1.49,1,33.5,-0.67,1.22,14.81
V057,Light Commercial,Diesel,6,100,3500,True,R016,Central Hub,Industrial Park,21.6,2214.7,1.59,1,34.5,0.57,1.03,5.39
V044,Van,CNG,4,75,1500,True,R006,Depot C,Zone 1,147.5,442.4,1.81,2,38.5,4.14,1.35,35.47
V009,Semi-Trailer,Diesel,1,450,26000,True,R011,Central Hub,Port Terminal,311.4,16041.1,1.0,1,73.6,0.35,1.01,141.02
V058,Truck,Diesel,12,220,8000,True,R023,Depot B,Zone 2,267.8,2145.3,1.03,3,76.7,-0.62,1.23,83.66
V058,Truck,Diesel,12,220,8000,True,R025,Hub North,Zone 1,68.2,1380.2,1.32,2,39.9,-2.63,1.05,22.07
V011,Van,Diesel,6,75,1500,True,R012,Depot A,Zone 2,57.9,534.2,1.15,2,48.4,1.55,1.09,7.21
V049,Truck,Diesel,8,220,8000,True,R005,Hub North,Zone 3,171.9,3266.9,1.66,1,50.8,-1.66,1.02,59.1
V025,Truck,Diesel,11,220,8000,True,R006,Depot C,Zone 1,147.3,5620.4,1.69,2,39.1,4.24,1.14,89.78
V036,Van,Diesel,6,75,1500,True,R004,Depot C,Zone 3,267.8,612.9,1.12,3,68.1,3.29,1.14,39.92
V027,Truck,Diesel,10,220,8000,True,R021,Depot A,Metro Area,277.6,821.4,1.19,1,61.0,0.19,1.35,89.42
V047,Semi-Trailer,Diesel,6,450,26000,True,R016,Central Hub,Industrial Park,21.0,22864.4,1.39,1,31.1,0.98,1.19,14.27
V060,Light Commercial,Diesel,7,100,3500,True,R014,Depot A,Metro Area,54.2,2103.5,1.9,2,23.1,-2.3,1.04,14.01
V048,Light Commercial,Petrol,9,100,3500,True,R021,Depot A,Metro Area,281.3,977.0,1.32,1,55.5,-0.11,1.01,57.27
V056,Semi-Trailer,Diesel,6,450,26000,True,R025,Hub North,Zone 1,68.3,8175.6,1.54,2,31.2,-2.52,1.04,31.67
V057,Light Commercial,Diesel,6,100,3500,True,R024,Depot C,Zone 2,101.1,719.3,1.09,1,66.1,-2.27,1.12,14.57
V006,Semi-Trailer,Diesel,8,450,26000,True,R005,Hub North,Zone 3,173.9,22634.7,1.49,1,50.1,-1.79,1.05,92.63
V016,Van,Petrol,6,75,1500,True,R018,Hub North,Port Terminal,159.9,443.5,1.0,1,84.8,2.69,1.07,25.9
V044,Van,CNG,4,75,1500,True,R027,Depot C,Zone 1,72.3,1349.3,1.14,2,37.1,-1.12,1.04,11.9
V036,Van,Diesel,6,75,1500,True,R024,Depot C,Zone 2,100.5,487.0,1.18,1,68.3,-2.44,1.13,10.58
V004,Van,Diesel,10,75,1500,True,R010,Hub North,Zone 2,197.1,1169.0,1.3,2,57.5,3.88,1.05,36.97
V006,Semi-Trailer,Diesel,8,450,26000,True,R012,Depot A,Zone 2,57.9,2831.0,1.2,2,40.0,1.67,1.04,30.26
V032,Truck,Diesel,8,220,8000,True,R027,Depot C,Zone 1,70.8,4086.3,1.44,2,26.7,-1.92,1.13,29.65
V037,Van,Petrol,6,75,1500,True,R001,Depot B,Port Terminal,287.9,620.7,1.4,1,56.4,-2.12,1.1,37.47
V011,Van,Diesel,6,75,1500,True,R016,Central Hub,Industrial Park,23.7,576.6,1.47,1,28.3,0.59,1.0,3.54
V011,Van,Diesel,6,75,1500,True,R004,Depot C,Zone 3,269.6,1415.0,1.46,3,54.8,3.3,1.0,47.72
V008,Semi-Trailer,Diesel,1,450,26000,True,R027,Depot C,Zone 1,69.5,18531.2,1.27,2,46.2,-1.47,1.02,30.99
V034,Van,Diesel,10,75,1500,True,R002,Hub North,Metro Area,101.1,476.1,1.59,3,42.0,1.43,1.03,15.91
V001,Semi-Trailer,Diesel,6,450,26000,True,R001,Depot B,Port Terminal,289.7,19229.0,1.77,1,47.1,-2.41,1.08,163.56
V035,Van,Petrol,9,75,1500,True,R010,Hub North,Zone 2,196.1,315.2,1.3,2,57.9,3.28,1.11,34.05
V029,Van,Diesel,12,75,1500,True,R007,Central Hub,Industrial Park,287.5,1330.6,1.27,3,50.6,0.79,1.05,45.83
V028,Van,Diesel,4,75,1500,True,R015,Central Hub,Zone 3,162.3,693.6,1.71,2,39.1,2.56,1.09,29.16
V041,Bus,Petrol,6,280,6000,True,R009,Depot A,Industrial Park,87.0,1572.4,1.91,1,26.9,-2.67,1.15,45.03
V032,Truck,Diesel,8,220,8000,True,R011,Central Hub,Port Terminal,310.6,2655.2,1.2,1,64.1,0.72,1.01,109.2
V044,Van,CNG,4,75,1500,True,R017,Hub North,Zone 2,143.5,347.8,1.53,3,42.6,4.24,1.35,30.99
V046,Truck,Diesel,4,220,8000,True,R017,Hub North,Zone 2,142.3,7127.8,1.63,3,46.1,4.24,1.01,80.25
V056,Semi-Trailer,Diesel,6,450,26000,True,R029,Depot A,Port Terminal,29.8,9360.2,1.26,3,42.9,3.83,1.08,19.53
V048,Light Commercial,Petrol,9,100,3500,True,R015,Central Hub,Zone 3,164.1,775.0,1.89,2,43.6,1.46,1.08,47.02
V032,Truck,Diesel,8,220,8000,True,R017,Hub North,Zone 2,141.1,6327.7,1.66,3,43.5,4.36,1.11,84.52
V030,Van,Diesel,11,75,1500,True,R021,Depot A,Metro Area,280.2,421.9,1.32,1,58.7,0.01,1.11,34.81
V015,Van,Diesel,9,75,1500,True,R006,Depot C,Zone 1,149.4,270.0,1.84,2,45.0,4.08,1.1,27.14
V036,Van,Diesel,6,75,1500,True,R021,Depot A,Metro Area,279.5,1002.2,1.14,1,69.2,0.54,1.07,36.28
V009,Semi-Trailer,Diesel,1,450,26000,True,R026,Central Hub,Zone 4,111.7,2763.7,2.02,3,40.7,0.58,1.02,58.24
V056,Semi-Trailer,Diesel,6,450,26000,True,R010,Hub North,Zone 2,198.4,20996.5,1.02,2,73.6,3.41,1.19,120.71
V051,Light Commercial,Diesel,8,100,3500,True,R006,Depot C,Zone 1,144.7,2024.1,1.81,2,41.1,4.98,1.06,47.15
V008,Semi-Trailer,Diesel,1,450,26000,True,R011,Central Hub,Port Terminal,312.2,8054.7,1.0,1,76.1,-0.22,1.16,118.71
V048,Light Commercial,Petrol,9,100,3500,True,R009,Depot A,Industrial Park,93.2,1758.9,1.7,1,26.4,-2.01,1.02,24.92
V008,Semi-Trailer,Diesel,1,450,26000,True,R018,Hub North,Port Terminal,157.4,8399.4,1.0,1,79.4,2.43,1.08,70.83
V044,Van,CNG,4,75,1500,True,R026,Central Hub,Zone 4,111.8,829.4,1.77,3,36.2,0.62,1.06,22.09
V006,Semi-Trailer,Diesel,8,450,26000,True,R018,Hub North,Port Terminal,158.7,15233.3,1.11,1,65.5,2.54,1.11,89.24
V030,Van,Diesel,11,75,1500,True,R004,Depot C,Zone 3,270.6,1133.9,1.16,3,64.7,2.6,1.03,43.52
V040,Van,CNG,2,75,1500,True,R010,Hub North,Zone 2,199.3,744.3,1.21,2,64.1,4.03,1.1,37.13
V044,Van,CNG,4,75,1500,True,R021,Depot A,Metro Area,276.4,1153.0,1.46,1,54.0,0.87,1.13,48.29
V026,Semi-Trailer,Diesel,7,450,26000,True,R010,Hub North,Zone 2,198.6,4130.3,1.01,2,80.0,3.41,1.04,99.2
V056,Semi-Trailer,Diesel,6,450,26000,True,R018,Hub North,Port Terminal,161.5,22961.7,1.0,1,75.3,2.91,1.0,91.14
V047,Semi-Trailer,Diesel,6,450,26000,True,R021,Depot A,Metro Area,280.5,6699.7,1.38,1,51.5,0.15,1.02,132.35
V013,Truck,Hybrid,5,220,8000,True,R010,Hub North,Zone 2,196.1,6488.7,1.22,2,60.8,4.19,1.06,74.78
V041,Bus,Petrol,6,280,6000,True,R020,Central Hub,Port Terminal,199.3,3122.6,1.37,2,53.4,-1.05,1.01,92.33
V044,Van,CNG,4,75,1500,True,R012,Depot A,Zone 2,53.3,283.5,1.3,2,40.4,2.07,1.16,9.42
V021,Van,Diesel,10,75,1500,True,R005,Hub North,Zone 3,173.9,608.7,1.68,1,40.4,-1.74,1.01,23.93
V045,Light Commercial,Diesel,9,100,3500,True,R012,Depot A,Zone 2,53.8,3082.0,1.07,2,45.9,0.98,1.0,11.89
V054,Light Commercial,Petrol,7,100,3500,True,R014,Depot A,Metro Area,55.1,2833.3,1.69,2,36.0,-2.65,1.04,13.58
V050,Light Commercial,Diesel,2,100,3500,True,R001,Depot B,Port Terminal,287.0,2498.9,1.44,1,52.9,-1.64,1.05,51.82
V046,Truck,Diesel,4,220,8000,True,R027,Depot C,Zone 1,69.6,3383.0,1.45,2,30.2,-1.87,1.04,25.65
V039,Truck,Diesel,12,220,8000,True,R016,Central Hub,Industrial Park,24.8,4803.8,1.3,1,37.0,1.26,1.07,10.81
V017,Light Commercial,Hybrid,8,100,3500,True,R002,Hub North,Metro Area,101.0,1040.6,1.45,3,42.8,2.26,1.35,17.6
V048,Light Commercial,Petrol,9,100,3500,True,R027,Depot C,Zone 1,69.6,2277.3,1.05,2,47.6,-1.62,1.26,15.06
V022,Truck,Diesel,10,220,8000,True,R026,Central Hub,Zone 4,110.3,2574.4,1.96,3,44.9,0.59,1.05,49.97
V032,Truck,Diesel,8,220,8000,True,R001,Depot B,Port Terminal,285.5,6437.2,1.4,1,48.9,-3.07,1.27,103.41
V019,Semi-Trailer,Diesel,11,450,26000,True,R005,Hub North,Zone 3,170.2,18169.4,1.75,1,37.0,-1.74,1.07,104.1
V019,Semi-Trailer,Diesel,11,450,26000,True,R011,Central Hub,Port Terminal,311.6,11132.6,1.0,1,72.4,0.87,1.16,160.04
V010,Semi-Trailer,Diesel,12,450,26000,True,R016,Central Hub,Industrial Park,24.1,17174.6,1.52,1,36.6,0.96,1.0,15.03
V058,Truck,Diesel,12,220,8000,True,R022,Central Hub,Metro Area,263.3,3010.9,1.23,2,67.8,-2.51,1.04,84.85
V009,Semi-Trailer,Diesel,1,450,26000,True,R013,Central Hub,Metro Area,194.6,6039.9,1.73,2,45.2,-1.85,1.33,90.67
V006,Semi-Trailer,Diesel,8,450,26000,True,R019,Depot B,Port Terminal,256.9,7797.6,1.45,2,46.4,-0.76,1.09,127.81
V057,Light Commercial,Diesel,6,100,3500,True,R001,Depot B,Port Terminal,287.9,1158.3,1.26,1,59.7,-2.55,1.0,46.24
V034,Van,Diesel,10,75,1500,True,R020,Central Hub,Port Terminal,197.3,438.9,1.3,2,64.8,0.44,1.05,24.26
V027,Truck,Diesel,10,220,8000,True,R028,Central Hub,Zone 4,31.5,5412.8,1.49,1,32.3,-0.46,1.02,14.17
V045,Light Commercial,Diesel,9,100,3500,True,R016,Central Hub,Industrial Park,25.7,2550.5,1.41,1,36.0,1.62,1.04,6.55
V023,Semi-Trailer,Diesel,7,450,26000,True,R014,Depot A,Metro Area,52.4,12702.8,1.89,2,27.4,-3.0,1.06,29.87
V008,Semi-Trailer,Diesel,1,450,26000,True,R009,Depot A,Industrial Park,88.0,24430.2,1.84,1,20.9,-2.45,1.02,58.11
V044,Van,CNG,4,75,1500,True,R029,Depot A,Port Terminal,32.7,1286.1,1.05,3,51.6,3.74,1.01,6.49
V011,Van,Diesel,6,75,1500,True,R001,Depot B,Port Terminal,286.1,261.0,1.6,1,50.3,-2.32,1.03,32.94
V034,Van,Diesel,10,75,1500,True,R009,Depot A,Industrial Park,89.4,737.1,1.69,1,21.5,-2.03,1.06,15.7
V057,Light Commercial,Diesel,6,100,3500,True,R005,Hub North,Zone 3,173.9,3052.7,1.97,1,32.7,-1.3,1.05,45.58
V057,Light Commercial,Diesel,6,100,3500,True,R026,Central Hub,Zone 4,112.1,1005.3,2.06,3,32.6,1.03,1.1,30.29
V022,Truck,Diesel,10,220,8000,True,R015,Central Hub,Zone 3,164.8,3373.1,1.65,2,48.6,1.53,1.23,75.65
V047,Semi-Trailer,Diesel,6,450,26000,True,R028,Central Hub,Zone 4,32.6,23527.5,1.59,1,28.5,-0.84,1.03,20.41
V037,Van,Petrol,6,75,1500,True,R020,Central Hub,Port Terminal,201.8,1139.5,1.55,2,50.1,-0.19,1.01,33.88
V029,Van,Diesel,12,75,1500,True,R017,Hub North,Zone 2,142.7,1211.2,1.38,3,53.4,4.21,1.04,28.31
V009,Semi-Trailer,Diesel,1,450,26000,True,R016,Central Hub,Industrial Park,21.8,22036.6,1.47,1,34.2,0.87,1.2,13.46
V023,Semi-Trailer,Diesel,7,450,26000,True,R007,Central Hub,Industrial Park,286.1,6383.0,1.21,3,63.9,0.27,1.03,120.51
V040,Van,CNG,2,75,1500,True,R017,Hub North,Zone 2,144.3,1041.6,1.51,3,50.8,4.71,1.1,31.02
V060,Light Commercial,Diesel,7,100,3500,True,R021,Depot A,Metro Area,277.5,2738.3,1.2,1,62.6,-0.02,1.01,53.78
V001,Semi-Trailer,Diesel,6,450,26000,True,R029,Depot A,Port Terminal,30.4,7605.2,1.1,3,46.8,4.47,1.05,17.28
V044,Van,CNG,4,75,1500,True,R017,Hub North,Zone 2,143.0,205.3,1.66,3,46.2,4.24,1.02,28.98
V051,Light Commercial,Diesel,8,100,3500,True,R029,Depot A,Port Terminal,30.0,880.6,1.0,3,49.2,4.16,1.07,6.17
V058,Truck,Diesel,12,220,8000,True,R029,Depot A,Port Terminal,31.2,5841.5,1.0,3,48.3,4.12,1.0,15.35
V026,Semi-Trailer,Diesel,7,450,26000,True,R016,Central Hub,Industrial Park,26.4,17943.8,1.66,1,37.6,0.61,1.01,16.96
V008,Semi-Trailer,Diesel,1,450,26000,True,R014,Depot A,Metro Area,54.8,22307.1,1.87,2,24.9,-2.36,1.03,33.47
V017,Light Commercial,Hybrid,8,100,3500,True,R005,Hub North,Zone 3,171.4,1292.9,1.64,1,51.2,-0.68,1.09,25.2
V052,Van,Petrol,2,75,1500,True,R009,Depot A,Industrial Park,90.0,942.7,1.79,1,25.1,-2.42,1.1,16.21
V053,Van,CNG,12,75,1500,True,R027,Depot C,Zone 1,70.8,184.2,1.45,2,37.7,-1.25,1.07,10.93
V039,Truck,Diesel,12,220,8000,True,R005,Hub North,Zone 3,174.3,7158.6,1.79,1,49.0,-1.17,1.14,82.42
V008,Semi-Trailer,Diesel,1,450,26000,True,R012,Depot A,Zone 2,55.4,14854.3,1.0,2,48.6,2.04,1.07,28.21
V008,Semi-Trailer,Diesel,1,450,26000,True,R021,Depot A,Metro Area,279.2,19139.3,1.38,1,51.6,0.2,1.18,140.51
V029,Van,Diesel,12,75,1500,True,R008,Depot B,Metro Area,126.3,511.9,1.91,2,37.6,-2.52,1.09,17.69
V036,Van,Diesel,6,75,1500,True,R030,Central Hub,Industrial Park,311.4,254.5,1.54,2,48.7,3.23,1.01,47.55
V002,Truck,Diesel,11,220,8000,True,R020,Central Hub,Port Terminal,196.1,1227.2,1.36,2,56.6,-0.74,1.07,62.46
V042,Bus,Hybrid,4,280,6000,True,R001,Depot B,Port Terminal,288.9,4754.8,1.65,1,45.2,-2.28,1.01,91.12
V033,Truck,Diesel,6,220,8000,True,R008,Depot B,Metro Area,127.0,1833.2,1.67,2,43.3,-2.81,1.1,42.37
V001,Semi-Trailer,Diesel,6,450,26000,True,R023,Depot B,Zone 2,268.4,20810.4,1.0,3,82.8,-1.18,1.0,123.4
V006,Semi-Trailer,Diesel,8,450,26000,True,R026,Central Hub,Zone 4,112.0,8462.4,1.82,3,40.5,1.06,1.03,68.12
V028,Van,Diesel,4,75,1500,True,R028,Central Hub,Zone 4,29.6,840.1,1.32,1,35.3,-0.8,1.13,4.38
V044,Van,CNG,4,75,1500,True,R026,Central Hub,Zone 4,110.7,483.9,1.56,3,51.4,-0.02,1.05,17.03
V050,Light Commercial,Diesel,2,100,3500,True,R003,Depot B,Zone 1,295.3,499.0,1.0,2,78.4,-1.34,1.19,44.6
V026,Semi-Trailer,Diesel,7,450,26000,True,R022,Central Hub,Metro Area,262.9,14584.4,1.28,2,64.3,-3.23,1.04,111.12
V018,Light Commercial,Hybrid,9,100,3500,True,R004,Depot C,Zone 3,266.6,1442.2,1.17,3,71.6,2.2,1.01,41.73
V059,Light Commercial,Diesel,7,100,3500,True,R003,Depot B,Zone 1,296.2,1644.5,1.13,2,67.8,-1.3,1.09,51.13
V028,Van,Diesel,4,75,1500,True,R021,Depot A,Metro Area,280.1,917.0,1.34,1,54.9,0.19,1.02,36.77
V019,Semi-Trailer,Diesel,11,450,26000,True,R015,Central Hub,Zone 3,163.6,9531.9,1.83,2,33.3,1.99,1.0,118.98
V027,Truck,Diesel,10,220,8000,True,R020,Central Hub,Port Terminal,199.9,4633.9,1.39,2,50.0,-0.38,1.15,77.9
V001,Semi-Trailer,Diesel,6,450,26000,True,R026,Central Hub,Zone 4,112.0,17136.8,1.81,3,42.3,-0.01,1.03,64.01
