vehicle_id,vehicle_type,fuel_type,vehicle_age,fuel_capacity_l,max_payload_kg,available,route_id,origin,destination,distance_km,required_payload_kg,traffic_factor,priority,average_speed_kmph,road_grade,weather_factor,fuel_consumed_l,payload_capacity_ratio,speed_efficiency_deviation,traffic_speed_ratio,grade_distance_work,payload_tonnage,weather_stress_index
V051,Light Commercial,Diesel,8,100,3500,True,R011,Central Hub,Port Terminal,312.9,920.9,1.31,1,59.5,0.82,1.13,57.16,0.2631142857142857,30.25,0.021652892561983474,315.46578,0.9208999999999999,40.676999999999964
V028,Van,Diesel,4,75,1500,True,R002,Hub North,Metro Area,101.2,1247.6,1.51,3,53.5,1.26,1.05,15.64,0.8317333333333333,132.25,0.027706422018348623,102.47512,1.2475999999999998,5.060000000000005
V048,Light Commercial,Petrol,9,100,3500,True,R028,Central Hub,Zone 4,29.0,2107.8,1.46,1,34.5,-0.46,1.02,7.62,0.6022285714285714,930.25,0.04112676056338028,28.8666,2.1078,0.5800000000000005
V024,Van,Diesel,7,75,1500,True,R002,Hub North,Metro Area,100.9,631.2,1.4,3,53.9,1.55,1.26,14.85,0.4208,123.21000000000004,0.025500910746812384,102.46395000000001,0.6312000000000001,26.234
V042,Bus,Hybrid,4,280,6000,True,R007,Central Hub,Industrial Park,286.8,4913.5,1.35,3,61.2,0.44,1.07,92.66,0.8189166666666666,14.439999999999978,0.021704180064308683,288.06192,4.9135,20.07600000000002
V039,Truck,Diesel,12,220,8000,True,R001,Depot B,Port Terminal,290.7,6411.1,1.52,1,46.5,-2.82,1.06,116.94,0.8013875,342.25,0.032,282.50226,6.4111,17.442000000000014
V015,Van,Diesel,9,75,1500,True,R015,Central Hub,Zone 3,164.8,291.4,1.93,2,35.8,1.55,1.01,27.31,0.19426666666666664,852.6400000000002,0.052445652173913046,167.35440000000003,0.2914,1.6480000000000017
V016,Van,Petrol,6,75,1500,True,R018,Hub North,Port Terminal,158.6,873.3,1.0,1,73.1,2.78,1.04,25.67,0.5821999999999999,65.60999999999991,0.01349527665317139,163.00908,0.8733,6.344000000000006
V004,Van,Diesel,10,75,1500,True,R010,Hub North,Zone 2,193.8,539.7,1.18,2,63.6,3.59,1.0,28.31,0.3598,1.959999999999996,0.01826625386996904,200.75742000000002,0.5397000000000001,0.0
V009,Semi-Trailer,Diesel,1,450,26000,True,R003,Depot B,Zone 1,294.3,14552.5,1.0,2,68.6,-1.97,1.08,113.86,0.5597115384615384,12.959999999999958,0.014367816091954025,288.50229,14.5525,23.544000000000022
V027,Truck,Diesel,10,220,8000,True,R004,Depot C,Zone 3,271.2,5682.4,1.26,3,62.3,2.93,1.09,126.35,0.7102999999999999,7.290000000000015,0.01990521327014218,279.14616,5.6823999999999995,24.40800000000002
V029,Van,Diesel,12,75,1500,True,R029,Depot A,Port Terminal,32.8,160.8,1.35,3,36.3,4.26,1.06,5.94,0.1072,823.6900000000002,0.036193029490616625,34.19728,0.1608,1.9680000000000015
V010,Semi-Trailer,Diesel,12,450,26000,True,R025,Hub North,Zone 1,65.5,13949.8,1.47,2,37.4,-3.74,1.23,35.18,0.5365307692307693,761.7600000000001,0.03828125,63.0503,13.9498,15.065
V026,Semi-Trailer,Diesel,7,450,26000,True,R029,Depot A,Port Terminal,30.3,9047.3,1.0,3,41.5,3.9,1.08,17.11,0.3479730769230769,552.25,0.023529411764705882,31.4817,9.0473,2.424000000000002
V037,Van,Petrol,6,75,1500,True,R016,Central Hub,Industrial Park,20.8,830.9,1.46,1,37.7,0.56,1.07,3.69,0.5539333333333333,745.2899999999998,0.03772609819121447,20.916480000000004,0.8309,1.4560000000000013
V014,Light Commercial,Diesel,4,100,3500,True,R017,Hub North,Zone 2,145.4,676.8,1.29,3,63.6,3.81,1.01,30.37,0.19337142857142856,1.959999999999996,0.01996904024767802,150.93974,0.6768,1.4540000000000013
V021,Van,Diesel,10,75,1500,True,R024,Depot C,Zone 2,102.2,1192.4,1.0,1,76.8,-2.17,1.04,11.77,0.7949333333333334,139.23999999999992,0.012853470437017995,99.98226,1.1924000000000001,4.088000000000004
V023,Semi-Trailer,Diesel,7,450,26000,True,R019,Depot B,Port Terminal,256.8,14615.1,1.57,2,47.9,-1.86,1.35,131.53,0.5621192307692308,292.41,0.03210633946830266,252.02352000000002,14.6151,89.88000000000002
V031,Light Commercial,Diesel,6,100,3500,True,R014,Depot A,Metro Area,55.1,977.9,1.57,2,35.2,-3.0,1.0,10.6,0.2794,888.0399999999998,0.04337016574585635,53.447,0.9779,0.0
V022,Truck,Diesel,10,220,8000,True,R009,Depot A,Industrial Park,84.6,6033.9,1.76,1,33.5,-1.99,1.07,38.02,0.7542375,992.25,0.051014492753623186,82.91645999999999,6.0339,5.922000000000005
V045,Light Commercial,Diesel,9,100,3500,True,R015,Central Hub,Zone 3,162.4,462.4,1.81,2,43.4,2.17,1.07,38.28,0.1321142857142857,466.56000000000006,0.040765765765765766,165.92408,0.4624,11.368000000000011
V020,Truck,Diesel,4,220,8000,True,R002,Hub North,Metro Area,100.9,4831.2,1.55,3,50.8,1.01,1.08,41.36,0.6039,201.64000000000007,0.029922779922779925,101.91909000000001,4.8312,8.072000000000008
V027,Truck,Diesel,10,220,8000,True,R006,Depot C,Zone 1,149.0,4212.0,1.79,2,48.4,3.85,1.08,84.27,0.5265,275.56000000000006,0.03623481781376518,154.7365,4.212,11.92000000000001
V023,Semi-Trailer,Diesel,7,450,26000,True,R023,Depot B,Zone 2,263.6,3476.2,1.03,3,75.9,-0.78,1.13,102.1,0.13369999999999999,118.81000000000013,0.013394018205461638,261.54392,3.4762,34.26799999999997
V011,Van,Diesel,6,75,1500,True,R027,Depot C,Zone 1,69.8,468.4,1.38,2,33.1,-1.72,1.09,9.02,0.31226666666666664,1017.6099999999999,0.04046920821114369,68.59944,0.4684,6.282000000000005
V042,Bus,Hybrid,4,280,6000,True,R004,Depot C,Zone 3,269.6,993.4,1.2,3,67.8,3.57,1.0,78.29,0.16556666666666667,7.839999999999984,0.01744186046511628,279.22472000000005,0.9934,0.0
V015,Van,Diesel,9,75,1500,True,R003,Depot B,Zone 1,292.2,1083.8,1.02,2,72.9,-1.41,1.0,35.6,0.7225333333333332,62.41000000000009,0.013802435723951284,288.07998,1.0837999999999999,0.0
V018,Light Commercial,Hybrid,9,100,3500,True,R003,Depot B,Zone 1,294.7,2449.7,1.0,2,74.8,-1.54,1.0,39.01,0.6999142857142857,96.03999999999995,0.013192612137203167,290.16161999999997,2.4497,0.0
V048,Light Commercial,Petrol,9,100,3500,True,R024,Depot C,Zone 2,101.9,615.7,1.24,1,60.7,-2.68,1.25,18.91,0.17591428571428572,18.489999999999977,0.020097244732576985,99.16908,0.6157,25.475
V057,Light Commercial,Diesel,6,100,3500,True,R010,Hub North,Zone 2,200.4,674.9,1.29,2,61.9,3.7,1.01,40.46,0.19282857142857143,9.610000000000008,0.020508744038155804,207.8148,0.6748999999999999,2.004000000000002
V041,Bus,Petrol,6,280,6000,True,R010,Hub North,Zone 2,197.5,5089.4,1.0,2,82.0,2.99,1.01,113.09,0.8482333333333333,289.0,0.012048192771084338,203.40525,5.0893999999999995,1.9750000000000019
V055,Van,CNG,6,75,1500,True,R001,Depot B,Port Terminal,288.0,406.1,1.53,1,49.2,-1.86,1.11,42.07,0.2707333333333333,249.6399999999999,0.03047808764940239,282.64320000000004,0.4061,31.680000000000028
V052,Van,Petrol,2,75,1500,True,R030,Central Hub,Industrial Park,315.1,537.2,1.41,2,60.2,3.09,1.1,52.39,0.35813333333333336,23.039999999999974,0.023039215686274508,324.83659,0.5372,31.51000000000003
V029,Van,Diesel,12,75,1500,True,R014,Depot A,Metro Area,53.0,1022.5,1.74,2,29.4,-2.84,1.09,8.73,0.6816666666666666,1267.3600000000001,0.05723684210526316,51.4948,1.0225,4.770000000000004
V047,Semi-Trailer,Diesel,6,450,26000,True,R024,Depot C,Zone 2,101.5,3942.0,1.12,1,72.3,-1.95,1.01,37.05,0.15161538461538462,53.28999999999996,0.01527967257844475,99.52075,3.942,1.015000000000001
V020,Truck,Diesel,4,220,8000,True,R022,Central Hub,Metro Area,263.4,7244.1,1.05,2,72.4,-1.76,1.05,85.97,0.9055125,54.76000000000008,0.01430517711171662,258.76416,7.2441,13.17000000000001
V028,Van,Diesel,4,75,1500,True,R005,Hub North,Zone 3,171.9,179.3,1.88,1,38.0,-1.54,1.2,23.34,0.11953333333333334,729.0,0.0482051282051282,169.25274000000002,0.17930000000000001,34.379999999999995
V033,Truck,Diesel,6,220,8000,True,R025,Hub North,Zone 1,69.6,6574.2,1.63,2,38.4,-2.85,1.03,26.59,0.8217749999999999,707.5600000000001,0.04137055837563452,67.6164,6.574199999999999,2.088000000000002
V058,Truck,Diesel,12,220,8000,True,R017,Hub North,Zone 2,143.6,3254.2,1.41,3,50.7,4.06,1.0,70.32,0.406775,204.48999999999992,0.02727272727272727,149.43016,3.2542,0.0
V051,Light Commercial,Diesel,8,100,3500,True,R019,Depot B,Port Terminal,256.9,796.4,1.35,2,53.0,-1.61,1.01,43.44,0.22754285714285713,144.0,0.025,252.76390999999998,0.7964,2.569000000000002
V030,Van,Diesel,11,75,1500,True,R007,Central Hub,Industrial Park,287.7,631.3,1.29,3,52.9,0.05,1.04,38.6,0.4208666666666666,146.41000000000003,0.023933209647495363,287.84385,0.6313,11.50800000000001
V040,Van,CNG,2,75,1500,True,R026,Central Hub,Zone 4,114.2,1390.4,1.52,3,54.5,0.54,1.03,20.3,0.9269333333333334,110.25,0.02738738738738739,114.81668,1.3904,3.4260000000000033
V013,Truck,Hybrid,5,220,8000,True,R028,Central Hub,Zone 4,28.8,4397.0,1.4,1,41.8,-0.49,1.1,8.72,0.549625,538.2400000000001,0.03271028037383177,28.65888,4.397,2.8800000000000026
V049,Truck,Diesel,8,220,8000,True,R013,Central Hub,Metro Area,192.4,1203.1,1.89,2,41.1,-1.18,1.07,72.42,0.15038749999999998,571.2099999999999,0.04489311163895487,190.12968,1.2030999999999998,13.468000000000012
V034,Van,Diesel,10,75,1500,True,R003,Depot B,Zone 1,294.1,1350.5,1.0,2,71.1,-2.38,1.14,36.33,0.9003333333333333,37.20999999999993,0.013869625520110958,287.10042,1.3505,41.17399999999997
V032,Truck,Diesel,8,220,8000,True,R026,Central Hub,Zone 4,111.9,1776.2,1.7,3,44.1,0.43,1.2,44.89,0.222025,436.80999999999995,0.0376940133037694,112.38117,1.7762,22.379999999999995
V046,Truck,Diesel,4,220,8000,True,R027,Depot C,Zone 1,68.0,1171.9,1.16,2,41.9,-1.09,1.19,21.2,0.14648750000000002,533.61,0.027039627039627038,67.2588,1.1719000000000002,12.919999999999996
V038,Light Commercial,Diesel,6,100,3500,True,R016,Central Hub,Industrial Park,24.7,485.1,1.86,1,22.7,0.84,1.07,6.44,0.1386,1789.2899999999997,0.07848101265822785,24.90748,0.48510000000000003,1.7290000000000014
V005,Light Commercial,CNG,10,100,3500,True,R018,Hub North,Port Terminal,156.4,2808.3,1.0,1,73.0,2.71,1.01,39.58,0.8023714285714286,64.0,0.013513513513513514,160.63844,2.8083,1.5640000000000014
V018,Light Commercial,Hybrid,9,100,3500,True,R007,Central Hub,Industrial Park,289.0,805.2,1.23,3,63.1,0.32,1.21,39.16,0.23005714285714288,3.6099999999999945,0.019188767550702028,289.9248,0.8052,60.68999999999999
V011,Van,Diesel,6,75,1500,True,R003,Depot B,Zone 1,293.5,378.2,1.0,2,72.6,-2.03,1.08,29.34,0.2521333333333333,57.75999999999991,0.013586956521739132,287.54195,0.3782,23.48000000000002
V045,Light Commercial,Diesel,9,100,3500,True,R029,Depot A,Port Terminal,29.9,3158.7,1.13,3,45.4,3.17,1.01,8.34,0.9024857142857142,384.1600000000001,0.02435344827586207,30.847830000000002,3.1586999999999996,0.29900000000000027
V003,Bus,Hybrid,9,280,6000,True,R015,Central Hub,Zone 3,165.8,3719.2,1.85,2,33.4,1.55,1.05,72.92,0.6198666666666667,998.5600000000001,0.053779069767441866,168.36990000000003,3.7192,8.290000000000008
V013,Truck,Hybrid,5,220,8000,True,R009,Depot A,Industrial Park,90.0,2740.9,1.58,1,38.4,-2.92,1.05,24.22,0.3426125,707.5600000000001,0.0401015228426396,87.372,2.7409,4.5000000000000036
V036,Van,Diesel,6,75,1500,True,R021,Depot A,Metro Area,279.9,897.7,1.4,1,52.1,0.18,1.02,37.44,0.5984666666666667,166.40999999999997,0.026365348399246702,280.40382,0.8977,5.598000000000004
V042,Bus,Hybrid,4,280,6000,True,R001,Depot B,Port Terminal,289.4,1839.8,1.53,1,52.5,-2.7,1.09,75.42,0.3066333333333333,156.25,0.028598130841121495,281.58619999999996,1.8397999999999999,26.04600000000002
V031,Light Commercial,Diesel,6,100,3500,True,R003,Depot B,Zone 1,294.0,1820.4,1.21,2,62.9,-1.85,1.01,47.79,0.5201142857142858,4.410000000000006,0.0189358372456964,288.56100000000004,1.8204,2.9400000000000026
V052,Van,Petrol,2,75,1500,True,R008,Depot B,Metro Area,129.0,576.6,1.6,2,48.5,-2.92,1.03,16.96,0.3844,272.25,0.03232323232323232,125.2332,0.5766,3.8700000000000037
V056,Semi-Trailer,Diesel,6,450,26000,True,R014,Depot A,Metro Area,54.0,16360.0,1.83,2,22.8,-2.53,1.25,35.29,0.6292307692307693,1780.8400000000001,0.07689075630252101,52.6338,16.36,13.5
V008,Semi-Trailer,Diesel,1,450,26000,True,R012,Depot A,Zone 2,56.6,19369.7,1.12,2,41.7,1.71,1.13,30.62,0.7449884615384615,542.8899999999999,0.02622950819672131,57.567859999999996,19.3697,7.357999999999994
V058,Truck,Diesel,12,220,8000,True,R006,Depot C,Zone 1,146.7,3169.9,1.98,2,35.0,4.02,1.15,95.88,0.3962375,900.0,0.055,152.59734,3.1699,22.004999999999985
V037,Van,Petrol,6,75,1500,True,R011,Central Hub,Port Terminal,313.6,333.5,1.19,1,63.3,0.54,1.2,40.97,0.22233333333333333,2.8900000000000095,0.018506998444790045,315.29344000000003,0.3335,62.71999999999999
V039,Truck,Diesel,12,220,8000,True,R011,Central Hub,Port Terminal,310.9,3219.0,1.17,1,69.3,0.94,1.02,116.34,0.402375,18.489999999999977,0.016642958748221907,313.82246,3.219,6.218000000000005
V006,Semi-Trailer,Diesel,8,450,26000,True,R016,Central Hub,Industrial Park,22.6,19355.2,1.49,1,35.3,0.99,1.03,13.7,0.7444307692307692,882.0900000000001,0.04104683195592287,22.82374,19.3552,0.6780000000000006
V038,Light Commercial,Diesel,6,100,3500,True,R017,Hub North,Zone 2,143.9,2691.6,1.45,3,48.0,3.99,1.01,40.11,0.7690285714285714,289.0,0.029591836734693875,149.64161000000001,2.6915999999999998,1.4390000000000014
V044,Van,CNG,4,75,1500,True,R027,Depot C,Zone 1,70.4,1151.6,1.29,2,39.2,-1.66,1.14,11.62,0.7677333333333333,665.6399999999999,0.03208955223880597,69.23136000000001,1.1516,9.855999999999995
V035,Van,Petrol,9,75,1500,True,R025,Hub North,Zone 1,67.9,1392.6,1.64,2,30.1,-3.89,1.15,12.88,0.9283999999999999,1218.01,0.05273311897106109,65.25869,1.3925999999999998,10.184999999999995
V006,Semi-Trailer,Diesel,8,450,26000,True,R009,Depot A,Industrial Park,88.5,20827.7,1.61,1,29.7,-2.58,1.0,52.42,0.8010653846153847,1246.0899999999997,0.052442996742671014,86.2167,20.8277,0.0
V032,Truck,Diesel,8,220,8000,True,R028,Central Hub,Zone 4,31.3,7386.3,1.49,1,33.5,-0.67,1.22,14.81,0.9232875,992.25,0.043188405797101447,31.09029,7.3863,6.885999999999999
V057,Light Commercial,Diesel,6,100,3500,True,R016,Central Hub,Industrial Park,21.6,2214.7,1.59,1,34.5,0.57,1.03,5.39,0.6327714285714285,930.25,0.0447887323943662,21.72312,2.2146999999999997,0.6480000000000006
V044,Van,CNG,4,75,1500,True,R006,Depot C,Zone 1,147.5,442.4,1.81,2,38.5,4.14,1.35,35.47,0.2949333333333333,702.25,0.04582278481012658,153.6065,0.44239999999999996,51.625000000000014
V009,Semi-Trailer,Diesel,1,450,26000,True,R011,Central Hub,Port Terminal,311.4,16041.1,1.0,1,73.6,0.35,1.01,141.02,0.6169653846153846,73.95999999999991,0.013404825737265416,312.4899,16.0411,3.1140000000000025
V058,Truck,Diesel,12,220,8000,True,R023,Depot B,Zone 2,267.8,2145.3,1.03,3,76.7,-0.62,1.23,83.66,0.2681625,136.89000000000007,0.013256113256113256,266.13964000000004,2.1453,61.594
V058,Truck,Diesel,12,220,8000,True,R025,Hub North,Zone 1,68.2,1380.2,1.32,2,39.9,-2.63,1.05,22.07,0.172525,630.0100000000001,0.03227383863080685,66.40634,1.3802,3.4100000000000033
V011,Van,Diesel,6,75,1500,True,R012,Depot A,Zone 2,57.9,534.2,1.15,2,48.4,1.55,1.09,7.21,0.35613333333333336,275.56000000000006,0.023279352226720645,58.797450000000005,0.5342,5.211000000000005
V049,Truck,Diesel,8,220,8000,True,R005,Hub North,Zone 3,171.9,3266.9,1.66,1,50.8,-1.66,1.02,59.1,0.4083625,201.64000000000007,0.032046332046332046,169.04646000000002,3.2669,3.4380000000000033
V025,Truck,Diesel,11,220,8000,True,R006,Depot C,Zone 1,147.3,5620.4,1.69,2,39.1,4.24,1.14,89.78,0.70255,670.81,0.04214463840399002,153.54552,5.6204,20.621999999999986
V036,Van,Diesel,6,75,1500,True,R004,Depot C,Zone 3,267.8,612.9,1.12,3,68.1,3.29,1.14,39.92,0.40859999999999996,9.609999999999964,0.01620839363241679,276.61062,0.6129,37.491999999999976
V027,Truck,Diesel,10,220,8000,True,R021,Depot A,Metro Area,277.6,821.4,1.19,1,61.0,0.19,1.35,89.42,0.102675,16.0,0.019193548387096773,278.12744000000004,0.8214,97.16000000000004
V047,Semi-Trailer,Diesel,6,450,26000,True,R016,Central Hub,Industrial Park,21.0,22864.4,1.39,1,31.1,0.98,1.19,14.27,0.8794000000000001,1149.2099999999998,0.04330218068535825,21.2058,22.8644,3.989999999999999
V060,Light Commercial,Diesel,7,100,3500,True,R014,Depot A,Metro Area,54.2,2103.5,1.9,2,23.1,-2.3,1.04,14.01,0.601,1755.61,0.07883817427385892,52.9534,2.1035,2.168000000000002
V048,Light Commercial,Petrol,9,100,3500,True,R021,Depot A,Metro Area,281.3,977.0,1.32,1,55.5,-0.11,1.01,57.27,0.27914285714285714,90.25,0.023362831858407082,280.99057,0.977,2.813000000000003
V056,Semi-Trailer,Diesel,6,450,26000,True,R025,Hub North,Zone 1,68.3,8175.6,1.54,2,31.2,-2.52,1.04,31.67,0.3144461538461539,1142.4399999999998,0.047826086956521734,66.57884,8.175600000000001,2.7320000000000024
V057,Light Commercial,Diesel,6,100,3500,True,R024,Depot C,Zone 2,101.1,719.3,1.09,1,66.1,-2.27,1.12,14.57,0.2055142857142857,1.2099999999999875,0.016244411326378543,98.80502999999999,0.7192999999999999,12.13200000000001
V006,Semi-Trailer,Diesel,8,450,26000,True,R005,Hub North,Zone 3,173.9,22634.7,1.49,1,50.1,-1.79,1.05,92.63,0.8705653846153847,222.00999999999996,0.029158512720156553,170.78719,22.634700000000002,8.695000000000007
V016,Van,Petrol,6,75,1500,True,R018,Hub North,Port Terminal,159.9,443.5,1.0,1,84.8,2.69,1.07,25.9,0.2956666666666667,392.0399999999999,0.011655011655011656,164.20131,0.4435,11.19300000000001
V044,Van,CNG,4,75,1500,True,R027,Depot C,Zone 1,72.3,1349.3,1.14,2,37.1,-1.12,1.04,11.9,0.8995333333333333,778.41,0.02992125984251968,71.49024,1.3493,2.8920000000000026
V036,Van,Diesel,6,75,1500,True,R024,Depot C,Zone 2,100.5,487.0,1.18,1,68.3,-2.44,1.13,10.58,0.32466666666666666,10.889999999999981,0.017027417027417027,98.0478,0.487,13.064999999999989
V004,Van,Diesel,10,75,1500,True,R010,Hub North,Zone 2,197.1,1169.0,1.3,2,57.5,3.88,1.05,36.97,0.7793333333333333,56.25,0.022222222222222223,204.74748,1.169,9.85500000000001
V006,Semi-Trailer,Diesel,8,450,26000,True,R012,Depot A,Zone 2,57.9,2831.0,1.2,2,40.0,1.67,1.04,30.26,0.10888461538461539,625.0,0.029268292682926828,58.866929999999996,2.831,2.316000000000002
V032,Truck,Diesel,8,220,8000,True,R027,Depot C,Zone 1,70.8,4086.3,1.44,2,26.7,-1.92,1.13,29.65,0.5107875000000001,1466.8899999999999,0.051985559566787,69.44064,4.0863000000000005,9.203999999999992
V037,Van,Petrol,6,75,1500,True,R001,Depot B,Port Terminal,287.9,620.7,1.4,1,56.4,-2.12,1.1,37.47,0.41380000000000006,73.96000000000002,0.024390243902439022,281.79652,0.6207,28.790000000000024
V011,Van,Diesel,6,75,1500,True,R016,Central Hub,Industrial Park,23.7,576.6,1.47,1,28.3,0.59,1.0,3.54,0.3844,1346.89,0.050170648464163824,23.83983,0.5766,0.0
V011,Van,Diesel,6,75,1500,True,R004,Depot C,Zone 3,269.6,1415.0,1.46,3,54.8,3.3,1.0,47.72,0.9433333333333334,104.04000000000006,0.026164874551971327,278.4968,1.415,0.0
V008,Semi-Trailer,Diesel,1,450,26000,True,R027,Depot C,Zone 1,69.5,18531.2,1.27,2,46.2,-1.47,1.02,30.99,0.7127384615384615,353.4399999999999,0.026906779661016948,68.47834999999999,18.531200000000002,1.3900000000000012
V034,Van,Diesel,10,75,1500,True,R002,Hub North,Metro Area,101.1,476.1,1.59,3,42.0,1.43,1.03,15.91,0.3174,529.0,0.03697674418604651,102.54572999999999,0.4761,3.0330000000000026
V001,Semi-Trailer,Diesel,6,450,26000,True,R001,Depot B,Port Terminal,289.7,19229.0,1.77,1,47.1,-2.41,1.08,163.56,0.7395769230769231,320.40999999999997,0.0367983367983368,282.71823,19.229,23.17600000000002
V035,Van,Petrol,9,75,1500,True,R010,Hub North,Zone 2,196.1,315.2,1.3,2,57.9,3.28,1.11,34.05,0.21013333333333334,50.41000000000002,0.022071307300509338,202.53207999999998,0.3152,21.57100000000002
V029,Van,Diesel,12,75,1500,True,R007,Central Hub,Industrial Park,287.5,1330.6,1.27,3,50.6,0.79,1.05,45.83,0.8870666666666666,207.35999999999996,0.024612403100775195,289.77125,1.3306,14.375000000000012
V028,Van,Diesel,4,75,1500,True,R015,Central Hub,Zone 3,162.3,693.6,1.71,2,39.1,2.56,1.09,29.16,0.46240000000000003,670.81,0.042643391521197005,166.45488000000003,0.6936,14.607000000000014
V041,Bus,Petrol,6,280,6000,True,R009,Depot A,Industrial Park,87.0,1572.4,1.91,1,26.9,-2.67,1.15,45.03,0.26206666666666667,1451.6100000000001,0.06845878136200717,84.67710000000001,1.5724,13.049999999999992
V032,Truck,Diesel,8,220,8000,True,R011,Central Hub,Port Terminal,310.6,2655.2,1.2,1,64.1,0.72,1.01,109.2,0.3319,0.8100000000000103,0.018433179723502304,312.83632000000006,2.6552,3.106000000000003
V044,Van,CNG,4,75,1500,True,R017,Hub North,Zone 2,143.5,347.8,1.53,3,42.6,4.24,1.35,30.99,0.23186666666666667,501.75999999999993,0.03509174311926606,149.5844,0.3478,50.225000000000016
V046,Truck,Diesel,4,220,8000,True,R017,Hub North,Zone 2,142.3,7127.8,1.63,3,46.1,4.24,1.01,80.25,0.8909750000000001,357.2099999999999,0.034607218683651804,148.33352000000002,7.127800000000001,1.4230000000000014
V056,Semi-Trailer,Diesel,6,450,26000,True,R029,Depot A,Port Terminal,29.8,9360.2,1.26,3,42.9,3.83,1.08,19.53,0.36000769230769236,488.4100000000001,0.028701594533029614,30.94134,9.3602,2.384000000000002
V048,Light Commercial,Petrol,9,100,3500,True,R015,Central Hub,Zone 3,164.1,775.0,1.89,2,43.6,1.46,1.08,47.02,0.22142857142857142,457.9599999999999,0.04237668161434977,166.49586,0.775,13.12800000000001
V032,Truck,Diesel,8,220,8000,True,R017,Hub North,Zone 2,141.1,6327.7,1.66,3,43.5,4.36,1.11,84.52,0.7909625,462.25,0.037303370786516854,147.25196,6.3277,15.521000000000013
V030,Van,Diesel,11,75,1500,True,R021,Depot A,Metro Area,280.2,421.9,1.32,1,58.7,0.01,1.11,34.81,0.28126666666666666,39.68999999999996,0.022110552763819097,280.22801999999996,0.4219,30.822000000000028
V015,Van,Diesel,9,75,1500,True,R006,Depot C,Zone 1,149.4,270.0,1.84,2,45.0,4.08,1.1,27.14,0.18,400.0,0.04,155.49552,0.27,14.940000000000014
V036,Van,Diesel,6,75,1500,True,R021,Depot A,Metro Area,279.5,1002.2,1.14,1,69.2,0.54,1.07,36.28,0.6681333333333334,17.640000000000025,0.016239316239316237,281.0093,1.0022,19.56500000000002
V009,Semi-Trailer,Diesel,1,450,26000,True,R026,Central Hub,Zone 4,111.7,2763.7,2.02,3,40.7,0.58,1.02,58.24,0.10629615384615385,590.4899999999999,0.04844124700239808,112.34786000000001,2.7636999999999996,2.234000000000002
V056,Semi-Trailer,Diesel,6,450,26000,True,R010,Hub North,Zone 2,198.4,20996.5,1.02,2,73.6,3.41,1.19,120.71,0.8075576923076923,73.95999999999991,0.013672922252010725,205.16544000000002,20.9965,37.69599999999999
V051,Light Commercial,Diesel,8,100,3500,True,R006,Depot C,Zone 1,144.7,2024.1,1.81,2,41.1,4.98,1.06,47.15,0.5783142857142857,571.2099999999999,0.04299287410926366,151.90606,2.0241,8.682000000000007
